member_id,repo_financing_need_usd,collateral_inventory_usd,available_qualified_liquid_resources_usd,maturity_bucket,bucket_order,source_column,market_value_usd,total_treasury_position_usd,bucket_weight,base_haircut_rate,eligibility_factor,member_concentration_ratio,repo_exposure_allocated_usd,collateral_inventory_allocated_usd,qualified_resources_allocated_usd,value_class,actual_ficc_participant,participant_level_inference,scenario_name,severity_rank,stress_multiplier,additive_haircut_rate,bucket_haircut_addon,concentration_threshold,concentration_excess,concentration_haircut_addon,raw_stressed_haircut_rate,maximum_haircut_rate,stressed_haircut_rate,haircut_increase_rate,baseline_required_collateral_usd,stressed_required_collateral_before_call_usd,haircut_driven_collateral_call_usd,additional_collateral_call_rate,scenario_additional_collateral_call_usd,additional_collateral_requirement_usd,baseline_excess_collateral_inventory_usd,baseline_eligible_excess_collateral_usd,inventory_availability_rate,stressed_available_collateral_usd,collateral_posted_usd,collateral_shortfall_usd,haircut_market_value_loss_usd,inventory_unavailability_loss_usd,gross_collateral_resource_reduction_usd,qualified_resource_reduction_usd,stressed_qualified_resources_allocated_usd,model_version
SYN-MBR-0001,10547115374.828184,48513675806.494545,27146854021.072403,bills_0_1y,1,treasury_position_bills_0_1y_usd,82060489.8,893181618.3699999,0.09187436027820996,0.01,1.0,0.31313937116218,969009477.8428121,82060489.8,2494099846.7519784,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.01,0.5,0.01,0.0,978797452.3664769,978797452.3664769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494099846.7519784,section-17-v1
SYN-MBR-0001,10547115374.828184,48513675806.494545,27146854021.072403,notes_1_3y,2,treasury_position_notes_1_3y_usd,180764753.18,893181618.3699999,0.2023829750436247,0.015,1.0,0.31313937116218,2134556587.6860828,180764753.18,5494061079.859619,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.015,0.5,0.015,0.0,2167062525.5696273,2167062525.5696273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5494061079.859619,section-17-v1
SYN-MBR-0001,10547115374.828184,48513675806.494545,27146854021.072403,notes_3_7y,3,treasury_position_notes_3_7y_usd,279690330.31,893181618.3699999,0.31313937116218,0.025,0.98,0.31313937116218,3302717076.048658,279690330.31,8500748797.190109,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.025,0.5,0.025,0.0,3387402129.280675,3387402129.280675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500748797.190109,section-17-v1
SYN-MBR-0001,10547115374.828184,48513675806.494545,27146854021.072403,notes_7_10y,4,treasury_position_notes_7_10y_usd,146695461.29,893181618.3699999,0.16423923004339247,0.035,0.96,0.31313937116218,1732250108.3406076,146695461.29,4458578402.521304,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.035,0.5,0.035,0.0,1795077832.4773138,1795077832.4773138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4458578402.521304,section-17-v1
SYN-MBR-0001,10547115374.828184,48513675806.494545,27146854021.072403,bonds_10_30y,5,treasury_position_bonds_10_30y_usd,203970583.79,893181618.3699999,0.228364063472593,0.06,0.92,0.31313937116218,2408582124.910025,203970583.79,6199365894.749394,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.5,0.06,0.0,2562321409.47875,2562321409.47875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6199365894.749394,section-17-v1
SYN-MBR-0001,10547115374.828184,48513675806.494545,27146854021.072403,strips_30y_plus,6,treasury_position_strips_30y_plus_usd,0.0,893181618.3699999,0.0,0.1,0.85,0.31313937116218,0.0,0.0,0.0,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,section-17-v1
SYN-MBR-0002,30007864860.384212,129045998528.48314,50488291294.855255,bills_0_1y,1,treasury_position_bills_0_1y_usd,294065930.85,2076021165.24,0.14164881156980128,0.01,1.0,0.293314313445164,4250578395.2206244,294065930.85,7151606460.10619,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.01,0.5,0.01,0.0,4293513530.525883,4293513530.525883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7151606460.10619,section-17-v1
SYN-MBR-0002,30007864860.384212,129045998528.48314,50488291294.855255,notes_1_3y,2,treasury_position_notes_1_3y_usd,608926722.78,2076021165.24,0.293314313445164,0.015,1.0,0.293314313445164,8801736279.478857,608926722.78,14808938498.16992,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.015,0.5,0.015,0.0,8935772872.567368,8935772872.567368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14808938498.16992,section-17-v1
SYN-MBR-0002,30007864860.384212,129045998528.48314,50488291294.855255,notes_3_7y,3,treasury_position_notes_3_7y_usd,407936000.3,2076021165.24,0.19649896018899224,0.025,0.98,0.293314313445164,5896514242.557297,407936000.3,9920896741.158007,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.025,0.5,0.025,0.0,6047706915.443381,6047706915.443381,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9920896741.158007,section-17-v1
SYN-MBR-0002,30007864860.384212,129045998528.48314,50488291294.855255,notes_7_10y,4,treasury_position_notes_7_10y_usd,250549782.08,2076021165.24,0.12068748925834531,0.035,0.96,0.293314313445164,3621573868.0034976,250549782.08,6093305113.320053,synthetic,False,False,control,0,1.0,0.0,0.0,1.0,0.0,0.0,0.035,0.5,0.035,0.0,3752926288.086526,3752926288.086526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6093305113.320053,section-17-v1
