scenario_name,severity_rank,member_id,total_treasury_collateral_market_value_usd,total_repo_exposure_usd,treasury_collateral_inventory_usd,member_qualified_resources_usd,baseline_required_collateral_total_usd,stressed_required_collateral_total_usd,haircut_driven_collateral_call_usd,scenario_additional_collateral_call_usd,additional_collateral_requirement_total_usd,baseline_excess_collateral_inventory_usd,available_collateral_to_meet_calls_usd,collateral_posted_total_usd,collateral_shortfall_total_usd,haircut_market_value_loss_usd,inventory_unavailability_loss_usd,gross_collateral_resource_reduction_usd,bucket_qualified_resource_reduction_usd,stressed_member_qualified_resources_usd,baseline_final_bucket_order,baseline_final_time_bucket,baseline_liquidity_need_usd,baseline_available_resources_usd,baseline_eligible_collateral_liquidity_usd,baseline_available_cash_usd,baseline_liquidity_headroom_usd,baseline_liquidity_shortfall_usd,collateral_resource_reduction_usd,stressed_eligible_collateral_liquidity_usd,stressed_available_resources_usd,stressed_liquidity_need_usd,stressed_liquidity_headroom_usd,stressed_liquidity_shortfall_usd,stressed_liquidity_coverage_ratio,model_version,value_class,actual_ficc_participant,participant_level_inference
control,0,SYN-MBR-0001,893181618.37,10547115374.828186,893181618.37,27146854021.072403,10890661349.172844,10890661349.172844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27146854021.072403,5,day2_close,14677044626.155638,27146854021.072403,17645455113.697063,9501398907.37534,12469809394.916763,0.0,0.0,17645455113.697063,27146854021.072403,14677044626.155638,12469809394.916765,0.0,1.8496131007665257,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0002,2076021165.24,30007864860.384216,2076021165.24,50488291294.855255,30942113303.56352,30942113303.56352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50488291294.855255,5,day2_close,41433101833.13419,50488291294.855255,32817389341.65592,17670901953.199337,9055189461.721062,0.0,0.0,32817389341.65592,50488291294.855255,41433101833.13419,9055189461.721062,0.0,1.2185496393243624,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0003,1150515829.75,14731207018.624214,1150515829.75,31252301950.259506,15219003677.885532,15219003677.885532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31252301950.259506,5,day2_close,20155019286.488987,31252301950.259502,20313996267.66868,10938305682.590826,11097282663.77052,0.0,0.0,20313996267.66868,31252301950.259502,20155019286.488987,11097282663.770515,0.0,1.5505964795186096,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0004,1369413266.49,18708033818.07507,1369413266.49,41457312552.14155,19284987669.3465,19284987669.3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41457312552.14155,5,day2_close,27240947871.036327,41457312552.14155,26947253158.89201,14510059393.24954,14216364681.10522,0.0,0.0,26947253158.89201,41457312552.14155,27240947871.036327,14216364681.10522,0.0,1.5218748168532208,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0005,1800450968.92,17247570130.11036,1800450968.92,56249395326.243454,17810012449.093464,17810012449.093464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56249395326.243454,5,day2_close,24046617725.23445,56249395326.243454,36562106962.05824,19687288364.185207,32202777601.009,0.0,0.0,36562106962.05824,56249395326.243454,24046617725.23445,32202777601.009003,0.0,2.3391811675542002,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0006,1985292288.09,26031526273.50589,1985292288.09,55209210371.336205,26790191816.922646,26790191816.922646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55209210371.336205,5,day2_close,38261802453.29525,55209210371.3362,35885986741.36853,19323223629.96767,16947407918.040949,0.0,0.0,35885986741.36853,55209210371.3362,38261802453.29525,16947407918.040947,0.0,1.442932816317998,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0007,2191520292.05,27915366427.211388,2191520292.05,55113693908.5898,28812673972.154533,28812673972.154533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55113693908.5898,5,day2_close,36528895363.58161,55113693908.5898,35823901040.583374,19289792868.006428,18584798545.008183,0.0,0.0,35823901040.583374,55113693908.5898,36528895363.58161,18584798545.008186,0.0,1.5087697933383653,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0008,746190629.65,6850551142.1191,746190629.65,23153845907.247063,7059697431.192889,7059697431.192889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23153845907.247063,5,day2_close,9016795708.735136,23153845907.247063,15049999839.71059,8103846067.536471,14137050198.511929,0.0,0.0,15049999839.71059,23153845907.247063,9016795708.735136,14137050198.511927,0.0,2.567857435742553,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0009,1805458327.74,20018646542.475327,1805458327.74,47288999137.49504,20694322236.336845,20694322236.336845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47288999137.49504,5,day2_close,27563283765.119484,47288999137.49505,30737849439.37178,16551149698.123262,19725715372.375565,0.0,0.0,30737849439.37178,47288999137.49505,27563283765.119484,19725715372.375565,0.0,1.7156518628356565,section-17-v1,synthetic,False,False
control,0,SYN-MBR-0010,1300930058.47,15238095107.343016,1300930058.47,35216448139.00227,15739366372.689611,15739366372.689611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216448139.00227,5,day2_close,19011561063.106544,35216448139.00227,22890691290.35148,12325756848.650797,16204887075.89573,0.0,0.0,22890691290.35148,35216448139.00227,19011561063.106544,16204887075.89573,0.0,1.8523701458341897,section-17-v1,synthetic,False,False
