scenario_name,severity_rank,model_version,value_class,actual_ficc_participant,participant_level_inference,cover_1_member_ids_json,cover_1_stressed_requirement_usd,cover_1_available_resources_usd,cover_1_liquidity_coverage_ratio,cover_1_liquidity_shortfall_usd,cover_1_resource_utilization_ratio,cover_1_dominant_stress_component,cover_1_dominant_stress_component_usd,cover_1_coverage_status,cover_2_member_ids_json,cover_2_stressed_requirement_usd,cover_2_available_resources_usd,cover_2_liquidity_coverage_ratio,cover_2_liquidity_shortfall_usd,cover_2_resource_utilization_ratio,cover_2_dominant_stress_component,cover_2_dominant_stress_component_usd,cover_2_coverage_status
collateral_haircut_increase,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",239425966344.98984,304408474480.80493,1.2714096099425638,0.0,0.7865285838488945,settlement_liquidity_need,223347401819.26135,PASS,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",427626038236.488,607221453197.1642,1.4199824119721995,0.0,0.7042340747102,settlement_liquidity_need,399169135606.6192,PASS
combined_systemic_stress,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",847205508180.9622,304408474480.80493,0.359308894407924,542797033700.1572,2.7831206395483723,settlement_fail_requirement,312419339993.4314,BREACH,"[""SYN-MBR-0021"", ""SYN-MBR-0044""]",1467167406604.4036,612590097508.6199,0.4175325152065583,854577309095.7837,2.3950230546842275,settlement_fail_requirement,543322683190.9886,BREACH
curve_flattening,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",227514462331.28763,304408474480.80493,1.337974172549746,0.0,0.7473985825109938,settlement_liquidity_need,223347401819.26135,PASS,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",406114860332.32196,607221453197.1642,1.4951963410062798,0.0,0.6688084852635418,settlement_liquidity_need,399169135606.6192,PASS
curve_steepening,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",227016753615.72882,304408474480.80493,1.3409075305344074,0.0,0.7457635796865564,settlement_liquidity_need,223347401819.26135,PASS,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",405325820607.4153,607221453197.1642,1.4981070100276146,0.0,0.6675090586363167,settlement_liquidity_need,399169135606.6192,PASS
extreme_but_plausible_stress,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",684656552829.237,304408474480.80493,0.44461485575926224,380248078348.4321,2.2491376233758875,settlement_fail_requirement,240484424681.52866,BREACH,"[""SYN-MBR-0021"", ""SYN-MBR-0044""]",1187158317724.5327,612590097508.6199,0.5160138191869745,574568220215.9128,1.9379325956339475,settlement_fail_requirement,418111748772.2644,BREACH
moderate_stress,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",319334638148.95416,304408474480.80493,0.9532585511090503,14926163668.149231,1.0490333381605328,settlement_liquidity_need,223347401819.26135,BREACH,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",562576455321.3892,607221453197.1642,1.0793580987143698,0.0,0.9264765800998819,settlement_liquidity_need,399169135606.6192,PASS
parallel_treasury_shock,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",228683263553.02432,304408474480.80493,1.3311357803419765,0.0,0.7512381642563121,settlement_liquidity_need,223347401819.26135,PASS,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",408112023404.8375,607221453197.1642,1.4878793526619891,0.0,0.6720975045529625,settlement_liquidity_need,399169135606.6192,PASS
repo_rollover_failure,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",305829516937.2295,304408474480.80493,0.9953534816696054,1421042456.4245605,1.004668209250246,settlement_liquidity_need,223347401819.26135,BREACH,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",543889896993.69055,607221453197.1642,1.116441869123758,0.0,0.8957027030747711,settlement_liquidity_need,399169135606.6192,PASS
settlement_fail_increase,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",373232555377.93964,304408474480.80493,0.8156000062013812,68824080897.1347,1.226091211864322,settlement_liquidity_need,223347401819.26135,BREACH,"[""SYN-MBR-0021"", ""SYN-MBR-0044""]",652114029503.8142,612590097508.6199,0.939391072409119,39523931995.194336,1.0645193778938586,settlement_liquidity_need,391609575836.31604,BREACH
severe_stress,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",454096271718.87915,304408474480.80493,0.6703610961801894,149687797238.07422,1.4917333444588878,settlement_liquidity_need,223347401819.26135,BREACH,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",792907302028.371,607221453197.1642,0.7658164474507982,185685848831.2068,1.305795929727988,settlement_liquidity_need,399169135606.6192,BREACH
sofr_spike,1,section-22-v1,synthetic,False,False,"[""SYN-MBR-0021""]",223368881536.74,304408474480.80493,1.3628061007716308,0.0,0.7337801022711835,settlement_liquidity_need,223347401819.26135,PASS,"[""SYN-MBR-0021"", ""SYN-MBR-0030""]",399206823304.8971,607221453197.1642,1.521069825836605,0.0,0.6574320146348239,settlement_liquidity_need,399169135606.6192,PASS
