scenario_name,severity_rank,member_id,funding_scenario_name,haircut_scenario_name,treasury_scenario_name,settlement_fail_scenario_name,repo_rollover_need_usd,incremental_funding_cost_usd,additional_haircut_requirement_usd,settlement_fail_requirement_usd,excluded_section16_additional_collateral_demand_usd,excluded_section16_composite_outflow_usd,excluded_section18_funding_shock_usd,excluded_section18_composite_outflow_usd,excluded_section17_aqlr_reduction_usd,excluded_overlapping_candidate_amount_usd,section16_composite_identity_difference_usd,section18_composite_identity_difference_usd,double_count_control_pass,model_version,value_class,actual_ficc_participant,participant_level_inference,scenario_label,scenario_family,scenario_severity,display_order,hypothetical_value_class
moderate_stress,1,SYN-MBR-0001,moderate_stress,moderate_stress,moderate_stress,moderate_stress,3423945174.5243254,417812.2604448521,333759143.06919384,3140753529.1507125,465555209.2753331,3889918196.0601034,1944959098.0300517,5085712627.180764,17428478.14684,2427942785.4522247,5.960464477539063e-08,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0002,moderate_stress,moderate_stress,moderate_stress,moderate_stress,9314255636.55866,1224336.3543123924,919115481.4274219,7794176241.292288,1295184150.7291307,10610664123.642105,5305332061.821053,13099508303.11334,38562654.356895,6639078866.907079,1.430511474609375e-06,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0003,moderate_stress,moderate_stress,moderate_stress,moderate_stress,4437416596.428474,612295.7515392414,468937262.5443457,4032621907.3358436,633860848.6600705,5071889740.840084,2535944870.420042,6568566777.755886,22561907.2266275,3192367626.30674,-1.1920928955078125e-07,4.76837158203125e-07,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0004,moderate_stress,moderate_stress,moderate_stress,moderate_stress,5727762885.142515,769888.6807764617,576574307.3957356,5376954982.216429,817390525.7276464,6545923299.550939,3272961649.7754693,8649916631.991898,25843322.24891,4116195497.7520256,5.960464477539062e-07,-4.76837158203125e-07,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0005,moderate_stress,moderate_stress,moderate_stress,moderate_stress,5422720901.036521,697944.6002543139,545239626.1136398,5444795090.431606,748133659.5059016,6171552505.142676,3085776252.5713387,8530571343.002944,35051398.324049994,3868961310.40129,-4.76837158203125e-07,-9.5367431640625e-07,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0006,moderate_stress,moderate_stress,moderate_stress,moderate_stress,8234963692.987101,1049188.110484801,776432640.8323209,7758151521.86939,1129664537.6724892,9365677418.770075,4682838709.385037,12440990231.254427,35786978.717795,5848290225.775322,2.384185791015625e-07,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0007,moderate_stress,moderate_stress,moderate_stress,moderate_stress,8750081655.280369,1131850.9572073955,874826562.2238427,9548236588.223692,1218345056.4898186,9969558562.727394,4984779281.363697,14533015869.587389,42139502.905845,6245263840.75936,-7.152557373046875e-07,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0008,moderate_stress,moderate_stress,moderate_stress,moderate_stress,2163376857.7532387,276422.0046618368,209887991.08786705,2601317688.0384026,301586439.7498436,2465239719.507744,1232619859.753872,3833937547.7922745,13963937.3567,1548170236.8604155,-2.980232238769531e-07,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0009,moderate_stress,moderate_stress,moderate_stress,moderate_stress,6136010600.567457,823242.2194510672,642821136.4284245,6283081334.825003,859689049.7732389,6996522892.560145,3498261446.280073,9781342781.105078,35773626.19218,4393724122.245492,-1.7881393432617188e-06,1.9073486328125e-06,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0010,moderate_stress,moderate_stress,moderate_stress,moderate_stress,4510852605.558385,639968.623359669,483296430.9996439,4852147864.310441,646116770.204394,5157609344.386139,2578804672.1930695,7430952536.50351,25403839.913094997,3250325282.3105583,3.5762786865234375e-07,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0011,moderate_stress,moderate_stress,moderate_stress,moderate_stress,11772110137.87737,1428128.8727249915,1116069897.6997201,10280965853.965168,1611998448.7003763,13385536715.450472,6692768357.725236,16973734211.690403,68815195.75275749,8373582002.1783695,-2.384185791015625e-07,-9.5367431640625e-07,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0012,moderate_stress,moderate_stress,moderate_stress,moderate_stress,25972324251.35091,3480304.101566669,2573275209.535368,34606830347.137276,3674807117.4956927,29650611672.948166,14825305836.474083,49432136183.61136,175266445.9047725,18675379399.87455,-3.814697265625e-06,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0013,moderate_stress,moderate_stress,moderate_stress,moderate_stress,8976876996.64937,1186748.8276266037,940473552.1142972,10711012845.100367,1259327049.051999,10237390794.528996,5118695397.264498,15829708242.364864,56256294.174959995,6434278740.491457,-4.76837158203125e-07,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0014,moderate_stress,moderate_stress,moderate_stress,moderate_stress,3490534623.129529,445087.1468053995,345705513.7074095,3770988679.291055,486527233.4125043,3977506943.6888385,1988753471.8444192,5759742151.135475,22360968.307619996,2497641673.5645437,-2.384185791015625e-07,7.152557373046875e-07,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
moderate_stress,1,SYN-MBR-0015,moderate_stress,moderate_stress,moderate_stress,moderate_stress,2881503250.2664986,395638.69362457545,286353243.22115254,3419352129.683062,412874692.37846965,3294773581.3385935,1647386790.6692967,5066738920.352359,18396657.517624997,2078658140.5653915,7.152557373046875e-07,0.0,True,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
