member_id,settlement_liquidity_need_usd,available_qualified_liquid_resources_usd,repo_rollover_need_usd,incremental_funding_cost_usd,member_concentration_ratio,excluded_section16_additional_collateral_demand_usd,excluded_section16_composite_outflow_usd,additional_haircut_requirement_usd,excluded_section17_aqlr_reduction_usd,treasury_liquidation_loss_usd,settlement_fail_requirement_usd,excluded_section18_funding_shock_usd,excluded_section18_composite_outflow_usd,concentration_base_usd,concentration_excess_ratio,concentration_adjustment_usd,pre_buffer_stressed_liquidity_requirement_usd,operational_liquidity_buffer_usd,stressed_liquidity_requirement_usd,liquidity_coverage_ratio,liquidity_headroom_usd,liquidity_shortfall_usd,lcr_status,section16_composite_identity_difference_usd,section18_composite_identity_difference_usd,double_count_control_pass,excluded_overlapping_candidate_amount_usd,scenario_name,severity_rank,funding_scenario_name,haircut_scenario_name,treasury_scenario_name,settlement_fail_scenario_name,concentration_threshold,concentration_multiplier,operational_liquidity_buffer_rate,lcr_minimum_ratio,model_version,value_class,actual_ficc_participant,participant_level_inference,scenario_label,scenario_family,scenario_severity,display_order,hypothetical_value_class
SYN-MBR-0001,18858809027.69864,27146854021.072403,3423945174.5243254,417812.2604448521,0.31313937116218,465555209.2753331,3889918196.0601034,333759143.06919384,17428478.14684,137612341.82537514,3140753529.1507125,1944959098.0300517,5085712627.180764,21999562556.84935,0.0,0.0,25895297028.52869,517905940.5705738,26413202969.099266,1.0277759214901514,733651051.9731369,0.0,PASS,5.960464477539063e-08,0.0,True,2427942785.4522247,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0002,55686674465.80817,50488291294.855255,9314255636.55866,1224336.3543123924,0.293314313445164,1295184150.7291307,10610664123.642105,919115481.4274219,38562654.356895,308264694.12693346,7794176241.292288,5305332061.821053,13099508303.11334,63480850707.10046,0.0,0.0,74023710855.56778,1480474217.1113555,75504185072.67914,0.668682023999809,-25015893777.823883,25015893777.823883,BREACH,1.430511474609375e-06,0.0,True,6639078866.907079,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0003,27151181408.92816,31252301950.259502,4437416596.428474,612295.7515392414,0.2573079708206423,633860848.6600705,5071889740.840084,468937262.5443457,22561907.2266275,184385648.54712647,4032621907.3358436,2535944870.420042,6568566777.755886,31183803316.264004,0.0,0.0,36275155119.53549,725503102.3907099,37000658221.9262,0.844641783473455,-5748356271.666698,5748356271.666698,BREACH,-1.1920928955078125e-07,4.76837158203125e-07,True,3192367626.30674,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0004,34647571395.1913,41457312552.14155,5727762885.142515,769888.6807764617,0.2510355218707167,817390525.7276464,6545923299.550939,576574307.3957356,25843322.24891,197479909.33261365,5376954982.216429,3272961649.7754693,8649916631.991898,40024526377.40773,0.0,0.0,46527113367.95937,930542267.3591875,47457655635.31856,0.8735642752923622,-6000343083.17701,6000343083.17701,BREACH,5.960464477539062e-07,-4.76837158203125e-07,True,4116195497.7520256,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0005,31915827839.295277,56249395326.243454,5422720901.036521,697944.6002543139,0.3018129863575002,748133659.5059016,6171552505.142676,545239626.1136398,35051398.324049994,284455021.12182665,5444795090.431606,3085776252.5713387,8530571343.002944,37360622929.72688,0.0,0.0,43613736422.59912,872274728.4519825,44486011151.0511,1.2644288366347363,11763384175.192352,0.0,PASS,-4.76837158203125e-07,-9.5367431640625e-07,True,3868961310.40129,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0006,49756352913.10942,55209210371.3362,8234963692.987101,1049188.110484801,0.30974807622489625,1129664537.6724892,9365677418.770075,776432640.8323209,35786978.717795,263750760.65274954,7758151521.86939,4682838709.385037,12440990231.254427,57514504434.97881,0.0,0.0,66790700717.56146,1335814014.3512292,68126514731.91269,0.8103924087206298,-12917304360.576492,12917304360.576492,BREACH,2.384185791015625e-07,0.0,True,5848290225.775322,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0007,49007215187.84354,55113693908.5898,8750081655.280369,1131850.9572073955,0.2854548782912785,1218345056.4898186,9969558562.727394,874826562.2238427,42139502.905845,339976646.3802935,9548236588.223692,4984779281.363697,14533015869.587389,58555451776.06723,0.0,0.0,68521468490.90894,1370429369.818179,69891897860.72713,0.7885562646819849,-14778203952.13733,14778203952.13733,BREACH,-7.152557373046875e-07,0.0,True,6245263840.75936,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0008,11854684627.409325,23153845907.247063,2163376857.7532387,276422.0046618368,0.2793784356656723,301586439.7498436,2465239719.507744,209887991.08786705,13963937.3567,105107017.5965735,2601317688.0384026,1232619859.753872,3833937547.7922745,14456002315.447727,0.0,0.0,16934650603.890068,338693012.07780135,17273343615.96787,1.3404379847942771,5880502291.279194,0.0,PASS,-2.980232238769531e-07,0.0,True,1548170236.8604155,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0009,37420687572.08649,47288999137.49504,6136010600.567457,823242.2194510672,0.285403166638031,859689049.7732389,6996522892.560145,642821136.4284245,35773626.19218,301198085.8620254,6283081334.825003,3498261446.280073,9781342781.105078,43703768906.91149,0.0,0.0,50784621971.988846,1015692439.4397769,51800314411.42862,0.9129095001605192,-4511315273.9335785,4511315273.9335785,BREACH,-1.7881393432617188e-06,1.9073486328125e-06,True,4393724122.245492,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
SYN-MBR-0010,27452830917.97726,35216448139.00227,4510852605.558385,639968.623359669,0.26133573787190656,646116770.204394,5157609344.386139,483296430.9996439,25403839.913094997,206769340.68527442,4852147864.310441,2578804672.1930695,7430952536.50351,32304978782.2877,0.0,0.0,37506537128.154366,750130742.5630873,38256667870.71745,0.9205309845073508,-3040219731.7151794,3040219731.7151794,BREACH,3.5762786865234375e-07,0.0,True,3250325282.3105583,moderate_stress,1,moderate_stress,moderate_stress,moderate_stress,moderate_stress,0.35,0.1,0.02,1.0,section-21-v1,synthetic,False,False,Moderate stress,broad_market,moderate,1,hypothetical_assumptions_on_synthetic_members
