member_id,settlement_liquidity_need_usd,available_qualified_liquid_resources_usd,repo_rollover_need_usd,incremental_funding_cost_usd,member_concentration_ratio,excluded_section16_additional_collateral_demand_usd,excluded_section16_composite_outflow_usd,additional_haircut_requirement_usd,excluded_section17_aqlr_reduction_usd,treasury_liquidation_loss_usd,settlement_fail_requirement_usd,excluded_section18_funding_shock_usd,excluded_section18_composite_outflow_usd,concentration_base_usd,concentration_excess_ratio,concentration_adjustment_usd,pre_buffer_stressed_liquidity_requirement_usd,operational_liquidity_buffer_usd,stressed_liquidity_requirement_usd,liquidity_coverage_ratio,liquidity_headroom_usd,liquidity_shortfall_usd,lcr_status,section16_composite_identity_difference_usd,section18_composite_identity_difference_usd,double_count_control_pass,excluded_overlapping_candidate_amount_usd,scenario_name,severity_rank,funding_scenario_name,haircut_scenario_name,treasury_scenario_name,settlement_fail_scenario_name,concentration_threshold,concentration_multiplier,operational_liquidity_buffer_rate,lcr_minimum_ratio,model_version,value_class,actual_ficc_participant,participant_level_inference
SYN-MBR-0001,18858809027.69864,27146854021.072403,0.0,0.0,0.31313937116218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18858809027.69864,0.0,0.0,18858809027.69864,0.0,18858809027.69864,1.4394787062746541,8288044993.373764,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0002,55686674465.80817,50488291294.855255,0.0,0.0,0.293314313445164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55686674465.80817,0.0,0.0,55686674465.80817,0.0,55686674465.80817,0.9066494233886289,-5198383170.952911,5198383170.952911,BREACH,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0003,27151181408.92816,31252301950.259502,0.0,0.0,0.2573079708206423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27151181408.92816,0.0,0.0,27151181408.92816,0.0,27151181408.92816,1.1510475908787807,4101120541.331341,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0004,34647571395.1913,41457312552.14155,0.0,0.0,0.2510355218707167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34647571395.1913,0.0,0.0,34647571395.1913,0.0,34647571395.1913,1.1965431019472657,6809741156.950249,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0005,31915827839.295277,56249395326.243454,0.0,0.0,0.3018129863575002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31915827839.295277,0.0,0.0,31915827839.295277,0.0,31915827839.295277,1.762429463195321,24333567486.948177,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0006,49756352913.10942,55209210371.3362,0.0,0.0,0.3097480762248962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49756352913.10942,0.0,0.0,49756352913.10942,0.0,49756352913.10942,1.10959118060259,5452857458.226776,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0007,49007215187.84354,55113693908.5898,0.0,0.0,0.2854548782912785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49007215187.84354,0.0,0.0,49007215187.84354,0.0,49007215187.84354,1.1246036669772046,6106478720.746262,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0008,11854684627.409325,23153845907.247063,0.0,0.0,0.2793784356656723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11854684627.409325,0.0,0.0,11854684627.409325,0.0,11854684627.409325,1.953138918070654,11299161279.837738,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0009,37420687572.08649,47288999137.49504,0.0,0.0,0.285403166638031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37420687572.08649,0.0,0.0,37420687572.08649,0.0,37420687572.08649,1.263712726988205,9868311565.408554,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
SYN-MBR-0010,27452830917.97726,35216448139.00227,0.0,0.0,0.2613357378719065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27452830917.97726,0.0,0.0,27452830917.97726,0.0,27452830917.97726,1.2827984204696745,7763617221.025013,0.0,PASS,0.0,0.0,True,0.0,control,0,control,control,NONE,control,1.0,0.0,0.0,1.0,section-19-v1,synthetic,False,False
